S.No,TestName,Component,Priority,Team,User,OldTag,NewTag,FilePath
1,test_ALM124442_VerifyEmployeeCanAddWorkruleTransferInTheTimecardViaPayCodeSlider,TK_L4_Timecard_Transfers_Selenium,P1,Quest,Naman,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\transfers\TK_L4_Timecard_Transfers_Selenium\test_ALM124442_VerifyEmployeeCanAddWorkruleTransferInTheTimecardViaPayCodeSlider.spec.ts
2,test_ALM126767_HourlyTimecard_ViewAndEditAFlankingDayWithDAWFixedRule,TK_Regression_ViewTimecard_FlankingDaysHourly,P1,PathFinders,Nitesh,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\timecardview\TK_Regression_ViewTimecard_FlankingDaysHourly\test_ALM126767_HourlyTimecard_ViewAndEditAFlankingDayWithDAWFixedRule.spec.ts
3,test_ALM183120_Manager_Can_See_The_Employee_Summary_And_Timecards_Under_The_Time_Section_In_The_Left,TK_L3_Timekeeping_ViewTimecard_Selenium,P1,PathFinders,Vikash,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\timecardview\TK_L3_Timekeeping_ViewTimecard_Selenium\test_ALM183120_Manager_Can_See_The_Employee_Summary_And_Timecards_Under_The_Time_Section_In_The_Left.spec.ts
4,test_ALM94942_ApproveProjectTimecardWithPreApprovedRangeofDates,TK_L5_Timecard_ApprovalAndSignoff_Selenium,P1,Patriots,Vikash,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\approvalandsignoff\TK_L5_Timecard_ApprovalAndSignoff_Selenium\test_ALM94942_ApproveProjectTimecardWithPreApprovedRangeofDates.spec.ts
5,test_ALM54871_Employeeremovessignoffontheirtimecard,TK_L4_Timecard_ApprovalAndSignoff_Selenium,P1,Patriots,test1,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\approvalandsignoff\TK_L4_Timecard_ApprovalAndSignoff_Selenium\test_ALM54871_Employeeremovessignoffontheirtimecard.spec.ts
6,test_ALM87824_Using_approval_and_signoff_in_My_Timecard,TK_L4_Timecard_ApprovalAndSignoff_Selenium,P1,Patriots,test1,@devCases,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\approvalandsignoff\TK_L4_Timecard_ApprovalAndSignoff_Selenium\test_ALM87824_Using_approval_and_signoff_in_My_Timecard.spec.ts
7,test_ALM108779_EmployeeUsingApprovalInTheirTimecardAfterAManagerHasApprovedItProjectView,TK_L4_Timecard_ApprovalAndSignoff_Selenium,P1,Patriots,Mohit,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\approvalandsignoff\TK_L4_Timecard_ApprovalAndSignoff_Selenium\test_ALM108779_EmployeeUsingApprovalInTheirTimecardAfterAManagerHasApprovedItProjectView.spec.ts
8,test_ALM94940_ApprovalUneditableTimecard,TK_L4_Timecard_ApprovalAndSignoff_Selenium,P1,Approvals,Mohit,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\approvalandsignoff\TK_L4_Timecard_ApprovalAndSignoff_Selenium\test_ALM94940_ApprovalUneditableTimecard.spec.ts
9,test_ALM67360_Verify_manager_can_signoff_a_project_employees_timecard_only_in_prevoius_pay_period,TK_L4_Timecard_ApprovalAndSignoff_Selenium,P1,Patriots,test1,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\approvalandsignoff\TK_L4_Timecard_ApprovalAndSignoff_Selenium\test_ALM67360_Verify_manager_can_signoff_a_project_employees_timecard_only_in_prevoius_pay_period.spec.ts
10,test_ALM56257_Manager_removes_signoff_from_employees_timecards,TK_L4_Timecard_ApprovalAndSignoff_Selenium,P1,Patriots,test1,@handover1,@handover2,C:\Users\naman.bhatia\Automation\UI\tk-ui-tests\playwright-tests\tests\tk-timecard\approvalandsignoff\TK_L4_Timecard_ApprovalAndSignoff_Selenium\test_ALM56257_Manager_removes_signoff_from_employees_timecards.spec.ts
